"Date","Start_date","End_date","Ring","fineroot_p_flux_mg_m2_d","Days"
"2014-01-01","2014-01-01","2014-12-31",1,0.373896263572196,365
"2014-01-01","2014-01-01","2014-12-31",2,0.353307993281637,365
"2014-01-01","2014-01-01","2014-12-31",3,0.451204355745456,365
"2014-01-01","2014-01-01","2014-12-31",4,0.421693648226485,365
"2014-01-01","2014-01-01","2014-12-31",5,0.447336412682612,365
"2014-01-01","2014-01-01","2014-12-31",6,0.3322442933393,365
"2015-01-01","2015-01-01","2015-12-31",1,0.308233249369879,365
"2015-01-01","2015-01-01","2015-12-31",2,0.245128897337225,365
"2015-01-01","2015-01-01","2015-12-31",3,0.316195227965045,365
"2015-01-01","2015-01-01","2015-12-31",4,0.249482609599304,365
"2015-01-01","2015-01-01","2015-12-31",5,0.298192642484754,365
"2015-01-01","2015-01-01","2015-12-31",6,0.303593015138555,365
"2016-01-01","2016-01-01","2016-12-31",1,0.244187425723405,365
"2016-01-01","2016-01-01","2016-12-31",2,0.251009175867227,365
"2016-01-01","2016-01-01","2016-12-31",3,0.324915921653323,365
"2016-01-01","2016-01-01","2016-12-31",4,0.262067610462868,365
"2016-01-01","2016-01-01","2016-12-31",5,0.370603717692394,365
"2016-01-01","2016-01-01","2016-12-31",6,0.248355318726902,365
