"Date","Ring","Start_date","End_date","coarseroot_p_retrans_flux","Days"
"2013-12-20",1,"2012-12-20","2013-12-20",-0.000426577488580654,365
"2014-12-23",1,"2013-12-20","2014-12-23",0.00646942466041353,368
"2015-12-14",1,"2014-12-23","2015-12-14",0.0035289764717599,356
"2016-12-21",1,"2015-12-14","2016-12-21",-0.0024189242188426,373
"2013-12-20",2,"2012-12-20","2013-12-20",0.00324597856190312,365
"2014-12-23",2,"2013-12-20","2014-12-23",0.00341502886806567,368
"2015-12-14",2,"2014-12-23","2015-12-14",0.00398633586675737,356
"2016-12-21",2,"2015-12-14","2016-12-21",0.00123336805896301,373
"2014-12-23",3,"2013-12-20","2014-12-23",0.00203059897995856,368
"2013-12-20",3,"2012-12-20","2013-12-20",0.0106107288281317,365
"2016-12-21",3,"2015-12-14","2016-12-21",0.00140911004342906,373
"2015-12-14",3,"2014-12-23","2015-12-14",0.00570762932679608,356
"2014-12-23",4,"2013-12-20","2014-12-23",0.00300035159329638,368
"2013-12-20",4,"2012-12-20","2013-12-20",0.00329434184058306,365
"2016-12-21",4,"2015-12-14","2016-12-21",-0.000473930047707662,373
"2015-12-14",4,"2014-12-23","2015-12-14",0.00205241794249691,356
"2013-12-20",5,"2012-12-20","2013-12-20",0.00886951981520352,365
"2014-12-23",5,"2013-12-20","2014-12-23",0.00198009260853668,368
"2015-12-14",5,"2014-12-23","2015-12-14",0.00217060131484312,356
"2016-12-21",5,"2015-12-14","2016-12-21",0.00140405584661933,373
"2013-12-20",6,"2012-12-20","2013-12-20",0.00293630585141062,365
"2014-12-23",6,"2013-12-20","2014-12-23",2.65310386183109e-06,368
"2015-12-14",6,"2014-12-23","2015-12-14",0.00210467391214313,356
"2016-12-21",6,"2015-12-14","2016-12-21",0.000216405758952836,373
