"year","Ring","GPP","PreTrt","Date","Trt"
2013,"1",1308.461259,1391.22150275,2013-01-01,"eCO2"
2013,"2",1273.23145,1665.60740775,2013-01-01,"aCO2"
2013,"3",1380.276697,1460.75398525,2013-01-01,"aCO2"
2013,"4",1205.971289,1304.64601525,2013-01-01,"eCO2"
2013,"5",1995.746181,1954.006233,2013-01-01,"eCO2"
2013,"6",1420.099844,1670.3906435,2013-01-01,"aCO2"
2014,"1",1888.019361,1391.22150275,2014-01-01,"eCO2"
2014,"2",1836.938449,1665.60740775,2014-01-01,"aCO2"
2014,"3",1550.742958,1460.75398525,2014-01-01,"aCO2"
2014,"4",1733.789933,1304.64601525,2014-01-01,"eCO2"
2014,"5",2358.797226,1954.006233,2014-01-01,"eCO2"
2014,"6",1689.704789,1670.3906435,2014-01-01,"aCO2"
2015,"1",1408.530683,1391.22150275,2015-01-01,"eCO2"
2015,"2",1431.101083,1665.60740775,2015-01-01,"aCO2"
2015,"3",1319.277883,1460.75398525,2015-01-01,"aCO2"
2015,"4",1315.005633,1304.64601525,2015-01-01,"eCO2"
2015,"5",2001.105687,1954.006233,2015-01-01,"eCO2"
2015,"6",1736.749143,1670.3906435,2015-01-01,"aCO2"
2016,"1",1571.518984,1391.22150275,2016-01-01,"eCO2"
2016,"2",2121.158649,1665.60740775,2016-01-01,"aCO2"
2016,"3",1592.718403,1460.75398525,2016-01-01,"aCO2"
2016,"4",1521.404564,1304.64601525,2016-01-01,"eCO2"
2016,"5",2306.593443,1954.006233,2016-01-01,"eCO2"
2016,"6",1835.008798,1670.3906435,2016-01-01,"aCO2"
