"Date","Ring","Depth","soil_p_g_m2"
2012-06-17,1,"0_10",12.672015
2013-03-11,1,"0_10",10.5696108333334
2014-03-10,1,"0_10",10.0815725
2018-10-01,1,"0_10",11.70871942527
2013-09-03,1,"0_10",13.5421408333334
2012-09-03,1,"0_10",10.7217075
2012-06-17,1,"10_30",15.7712533333333
2013-06-11,1,"10_30",17.8766733333333
2018-10-01,1,"10_30",12.5060645989933
2018-10-01,1,"transition",11.854566337824
2012-06-17,2,"0_10",10.3030433333333
2013-03-11,2,"0_10",8.88713333333332
2018-10-01,2,"0_10",6.93442117101332
2014-03-10,2,"0_10",9.40379333333331
2012-09-03,2,"0_10",10.46945
2013-09-03,2,"0_10",10.2434566666666
2018-10-01,2,"10_30",11.3452009524
2012-06-17,2,"10_30",16.1658
2013-06-11,2,"10_30",20.3868
2018-10-01,2,"transition",7.49445193332
2012-09-03,3,"0_10",9.14544
2013-03-11,3,"0_10",8.42832
2018-10-01,3,"0_10",10.16170575552
2012-06-17,3,"0_10",9.80856
2013-09-03,3,"0_10",10.52676
2014-03-10,3,"0_10",8.92692
2018-10-01,3,"10_30",11.46365638806
2012-06-17,3,"10_30",14.52615
2013-06-11,3,"10_30",13.744755
2018-10-01,3,"transition",10.902320557776
2013-09-03,4,"0_10",8.866305
2012-09-03,4,"0_10",8.245965
2013-03-11,4,"0_10",8.119545
2012-06-17,4,"0_10",7.5399975
2014-03-10,4,"0_10",7.866705
2018-10-01,4,"0_10",7.72538841543
2018-10-01,4,"10_30",9.84192468298
2012-06-17,4,"10_30",14.0231375
2013-06-11,4,"10_30",14.63646
2018-10-01,4,"transition",9.299676740562
2012-06-17,5,"0_10",12.0210933333333
2018-10-01,5,"0_10",11.8969195957333
2012-09-03,5,"0_10",10.6283466666666
2013-03-11,5,"0_10",9.66063999999997
2014-03-10,5,"0_10",11.66792
2013-09-03,5,"0_10",11.2329066666666
2013-06-11,5,"10_30",22.1773183333334
2012-06-17,5,"10_30",16.7933916666667
2018-10-01,5,"10_30",18.10021278602
2018-10-01,5,"transition",16.03954533573
2012-06-17,6,"0_10",10.6561733333334
2013-03-11,6,"0_10",10.73327
2012-09-03,6,"0_10",12.1334666666667
2018-10-01,6,"0_10",11.4001858566267
2014-03-10,6,"0_10",12.38765
2013-09-03,6,"0_10",13.3825
2012-06-17,6,"10_30",13.358135
2013-06-11,6,"10_30",15.6999675
2018-10-01,6,"10_30",13.09763168616
2018-10-01,6,"transition",12.613572531504
