"Start_date","End_date","Date","Ring","understorey_production_flux","Days"
2015-02-01,2015-08-01,2015-08-01,1,393.245856353591,182
2015-02-01,2015-08-01,2015-08-01,2,349.240331491713,182
2015-02-01,2015-08-01,2015-08-01,3,134.530386740331,182
2015-02-01,2015-08-01,2015-08-01,4,528.252762430939,182
2015-02-01,2015-08-01,2015-08-01,5,421.961325966851,182
2015-02-01,2015-08-01,2015-08-01,6,312.016574585635,182
2015-08-01,2016-02-01,2016-02-01,1,653.532608695652,185
2015-08-01,2016-02-01,2016-02-01,2,620.244565217391,185
2015-08-01,2016-02-01,2016-02-01,3,406.861413043478,185
2015-08-01,2016-02-01,2016-02-01,4,596.195652173913,185
2015-08-01,2016-02-01,2016-02-01,5,771.671195652174,185
2015-08-01,2016-02-01,2016-02-01,6,623.641304347826,185
2016-02-01,2016-07-01,2016-07-01,1,472.193708609272,152
2016-02-01,2016-07-01,2016-07-01,2,546.316225165563,152
2016-02-01,2016-07-01,2016-07-01,3,597.408940397351,152
2016-02-01,2016-07-01,2016-07-01,4,760.844370860927,152
2016-02-01,2016-07-01,2016-07-01,5,647.10678807947,152
2016-02-01,2016-07-01,2016-07-01,6,399.648178807947,152
2016-07-01,2017-05-01,2017-05-01,1,351.027960526316,305
2016-07-01,2017-05-01,2017-05-01,2,381.702302631579,305
2016-07-01,2017-05-01,2017-05-01,3,447.491776315789,305
2016-07-01,2017-05-01,2017-05-01,4,427.919407894737,305
2016-07-01,2017-05-01,2017-05-01,5,351.315789473684,305
2016-07-01,2017-05-01,2017-05-01,6,381.537828947368,305
